,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
129,"Me Fije","Alex Rose",108062,https://open.spotify.com/track/6Et5KimMg3IXwD6lJPGmQw
130,"El Bélico","El Fantasma",107988,https://open.spotify.com/track/50pkO56KXHoH53sVPRSbZ3
131,"Vida de Rico",Camilo,107812,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
132,"Desde Morro","Justin Morales",107664,https://open.spotify.com/track/5u6lAvdS8mmHHTHQlC3TtN
133,Tusa,"KAROL G",107320,https://open.spotify.com/track/0dKg2vGC1hFqcK5LGTaKzX
134,"El Color de Tus Ojos","Banda MS de Sergio Lizárraga",107193,https://open.spotify.com/track/1l77YWrGUp3qX3NS1rz7lq
135,"Por Mi México","Lefty Sm",107141,https://open.spotify.com/track/2sUknbm8xdLQgH7wb8xcTX
136,Tú,"Los Elegantes de Jerez",107026,https://open.spotify.com/track/5GkeaIeCEfB0LOqk7sIVHQ
137,Loco,"Justin Quiles",106322,https://open.spotify.com/track/6PDlkWmrq2ZKiUuFt2aQsH
138,"Devuélveme a mi chica","Hombres G",105705,https://open.spotify.com/track/1Wrzhfa5bNlqvsnCztz190
139,Poblado,Crissin,104716,https://open.spotify.com/track/47gSYfwFBbV1BXHfXEq1qs
140,"Build a Bitch","Bella Poarch",104047,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
141,"Lamento Boliviano","Los Enanitos Verdes",103619,https://open.spotify.com/track/6Pur3hWy6Nzc27ilmsp5HA
142,happier,"Olivia Rodrigo",102366,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
143,"Tattoo - Remix with Camilo","Rauw Alejandro",102167,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
144,"CÓMO SE SIENTE - Remix","Jhay Cortez",101589,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
145,"Cerrando Ciclos","Banda MS de Sergio Lizárraga",100353,https://open.spotify.com/track/3fBJNawfhtgCmo58trRK2z
146,Azul,"J Balvin",100240,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
147,"Amor A Primera Vista","Los Ángeles Azules",100230,https://open.spotify.com/track/5Myb8S90Wg0yLec5kmrIGJ
148,Safaera,"Bad Bunny",99873,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
