,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
120,"GIRL LIKE ME","Black Eyed Peas",52249,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
121,"Pousse toi",Tiakola,52090,https://open.spotify.com/track/48ghUr9q4ZCKTGEGzdZJlj
122,"KASSAV (feat. Tiakola)",Gazo,51787,https://open.spotify.com/track/25PVU9aowaP69bSYRBe3sj
123,Kedaba,"Hornet La Frappe",51589,https://open.spotify.com/track/2572PCfmUvn6VTobYjx97y
124,Sirène,Larry,51445,https://open.spotify.com/track/0YBQKyzpWGDivSdi0OaXiH
125,Zehma,GLK,51220,https://open.spotify.com/track/3PeW31cRh8BlN7fwj6cGe9
126,"Tell The Vision (feat. Kanye West & Pusha T)","Pop Smoke",51085,https://open.spotify.com/track/2UwALqx6yOsXTFt7zRxnts
127,"1,2,3","Amel Bent",51053,https://open.spotify.com/track/7uCLrBdy5FH6T7vcJzqRd7
128,"Essaie encore","Imen Es",51020,https://open.spotify.com/track/7xFEyavPtivXc8yFqEZJpJ
129,"Le bouton",Jul,50699,https://open.spotify.com/track/5woXULngEdyMvrNIPE2fbx
130,"Woo Baby (feat. Chris Brown)","Pop Smoke",50400,https://open.spotify.com/track/58T4yPLn4NjBYXfRxeweyM
131,"Lettre à une femme",Ninho,49901,https://open.spotify.com/track/5HEtuK03ygUzqca6yfgOYZ
132,"Leave The Door Open","Bruno Mars",49482,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
133,"Merci Beaucoup","Pop Smoke",48577,https://open.spotify.com/track/6mPZVis3gEGSSR2rhxlehT
134,"Je n'ai pas que des potes",Jul,48544,https://open.spotify.com/track/70MrRXJfGbZz4D5YFLpWpm
135,Seuls,"Djadja & Dinaz",48528,https://open.spotify.com/track/3J5CNgFBHzS75oYVv9zbDc
136,Daddy,SDM,48373,https://open.spotify.com/track/2iPFEYnitXLl4lSxvqZI3m
137,"Your Love (9PM)",ATB,48131,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
138,Tereza,Jul,47068,https://open.spotify.com/track/5jonseK9nWkH0Vl3mLZTvl
139,"Kimono (feat. SCH et Ninho)",Sadek,47020,https://open.spotify.com/track/54rHJPDt8DUE2RtSg6Bsrf
140,"Je t’aime de ouf",Wejdene,46664,https://open.spotify.com/track/5BUl0EBl4tOmPtT9IN0UUP
141,"Call Me Papi (feat. Dawty Music)",Feder,46486,https://open.spotify.com/track/0FXEr1tdiBcLsnLSG8ol2l
142,"Derrière le brouillard","Grand Corps Malade",46475,https://open.spotify.com/track/41mbANHqOIULPmYi5Hp4ey
143,Bombardé,Were-vana,46314,https://open.spotify.com/track/3y2SEDE8XKVOgA4XofZ95A
144,"Ani Kuni","Polo & Pan",46216,https://open.spotify.com/track/6GRV3bukjCnKe7Th5o3Gnd
145,"Millenials (Génération Y)",Niro,46151,https://open.spotify.com/track/2eARXBtOJbqXzab2s7ODPj
146,"Mannschaft (feat. Freeze Corleone)",SCH,46030,https://open.spotify.com/track/03cOUvF1fyW60AuUfUNiDc
147,Aminata,Landy,45732,https://open.spotify.com/track/2BFnKS6SiB2VWvjWsjf3eg
148,Médusa,Landy,45708,https://open.spotify.com/track/2hL0WVDLvlxZ60J4YyWvFW
