,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
159,"Glad You Exist","Dan + Shay",220305,https://open.spotify.com/track/472vIK1ldetTxRxG3ovaiY
160,"hot girl bummer",blackbear,220039,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
161,"Life Is Good (feat. Drake)",Future,219481,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
162,"Wasted On You","Morgan Wallen",219152,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
163,Riptide,"Vance Joy",219068,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
164,"Having Our Way (feat. Drake)",Migos,217561,https://open.spotify.com/track/2NM0qHzx4Ohy8iXHEEgwlO
165,"Tennessee Whiskey","Chris Stapleton",217511,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
166,"Smells Like Teen Spirit",Nirvana,217193,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
167,"Wild Blue","John Mayer",216650,https://open.spotify.com/track/4VFGpluBaU1WcquEMzhSz6
168,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,216072,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
169,"Lost Cause","Billie Eilish",215298,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
170,505,"Arctic Monkeys",214626,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
171,34+35,"Ariana Grande",214527,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
172,"Before You Go","Lewis Capaldi",214303,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
173,"Chasing After You (with Maren Morris)","Ryan Hurd",213264,https://open.spotify.com/track/1ZIKpMTRPqhwAoVXWY3tXI
174,"Don't Stop Believin'",Journey,213258,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
175,"Jocelyn Flores",XXXTENTACION,211673,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
176,"Washing Machine Heart",Mitski,211243,https://open.spotify.com/track/4Ys8jQvZOISzmp34BsImRf
177,21,"Polo G",210960,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
178,"The Jackie (with J. Cole & Lil Tjay)",Bas,210494,https://open.spotify.com/track/15qKrPi4Kg0z7g9HlwWyeb
179,"Shouldn't Matter but It Does","John Mayer",209306,https://open.spotify.com/track/3MthJpM1IEYp2ulZe00LvP
180,"Hold On","Justin Bieber",208799,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
181,Ski,"Young Stoner Life",208768,https://open.spotify.com/track/6755DFiZ7CWe2WMdTGW5C1
