Song,Artist,Date,Streams,Rank
Glad You Exist,Dan + Shay,2021-07-11,"204,479",160
Drunk (And I Don't Wanna Go Home),"Elle King, Miranda Lambert",2021-07-11,"203,998",161
Wasting Time ( feat. Drake ),Brent Faiyaz,2021-07-11,"203,809",162
Beautiful Crazy,Luke Combs,2021-07-11,"203,772",163
YKWIM?,Yot Club,2021-07-11,"203,589",164
Look Who’s Inside Again,Bo Burnham,2021-07-11,"203,438",165
My Potna Dem,$ilkMoney,2021-07-11,"203,012",166
Life Is Good (feat. Drake),Future,2021-07-11,"201,949",167
Modern Day,Migos,2021-07-11,"200,546",168
XO Tour Llif3,Lil Uzi Vert,2021-07-11,"200,123",169
505,Arctic Monkeys,2021-07-11,"199,801",170
More Than My Hometown,Morgan Wallen,2021-07-11,"197,660",171
34+35,Ariana Grande,2021-07-11,"197,158",172
HOT WIND BLOWS (feat. Lil Wayne),"Tyler, The Creator",2021-07-11,"196,237",173
21,Polo G,2021-07-11,"194,280",174
Smells Like Teen Spirit,Nirvana,2021-07-11,"194,177",175
Jocelyn Flores,XXXTENTACION,2021-07-11,"194,169",176
We're Good,Dua Lipa,2021-07-11,"193,592",177
Bandit (with YoungBoy Never Broke Again),Juice WRLD,2021-07-11,"192,467",178
Space Song,Beach House,2021-07-11,"192,290",179
As the World Caves In,Matt Maltese,2021-07-11,"192,035",180
Misery Business,Paramore,2021-07-11,"191,507",181
Riptide,Vance Joy,2021-07-11,"190,596",182
Cry No More,"G Herbo, Polo G, Lil Tjay",2021-07-11,"190,565",183
Wagon Wheel,Darius Rucker,2021-07-11,"190,458",184
Bohemian Rhapsody - Remastered 2011,Queen,2021-07-11,"190,445",185
When It Rains It Pours,Luke Combs,2021-07-11,"189,655",186
Before You Go,Lewis Capaldi,2021-07-11,"189,479",187
"Bills, Bills, Bills",Destiny's Child,2021-07-11,"189,381",188
Hold On,Justin Bieber,2021-07-11,"189,354",189
The Hills,The Weeknd,2021-07-11,"188,192",190
Drip Too Hard (Lil Baby & Gunna),Lil Baby,2021-07-11,"186,862",191
lovely (with Khalid),Billie Eilish,2021-07-11,"185,675",192
The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,2021-07-11,"185,429",193
GO (feat. Juice WRLD),The Kid LAROI,2021-07-11,"185,418",194
Godzilla (feat. Juice WRLD),Eminem,2021-07-11,"185,154",195
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,2021-07-11,"184,926",196
SAD!,XXXTENTACION,2021-07-11,"184,394",197
Bang!,AJR,2021-07-11,"183,275",198
Ric Flair Drip (& Metro Boomin),Offset,2021-07-11,"182,937",199
Wait a Minute!,WILLOW,2021-07-11,"182,896",200
